auto_id,cart_id,product_name
1,1,"컵"
2,1,"바나나"
3,1,"사과"
4,2,"사과"
5,3,"사과"
6,4,"사과"
7,4,"바나나"
8,4,"컵"
9,5,"컵"
10,5,"사과"
11,5,"바나나"
12,6,"사과"
13,6,"컵"
14,6,"바나나"
15,7,"컵"
16,7,"바나나"
17,8,"바나나"
18,9,"바나나"
19,9,"컵"
20,9,"사과"
21,10,"사과"
22,11,"바나나"
23,12,"컵"
24,12,"바나나"
25,13,"바나나"
26,13,"사과"
27,13,"컵"
28,14,"컵"
29,14,"바나나"
30,15,"사과"
31,15,"컵"
32,15,"바나나"
33,16,"바나나"
34,17,"컵"
35,18,"바나나"
36,19,"사과"
37,19,"바나나"
38,19,"컵"
39,20,"바나나"
40,20,"컵"
41,21,"바나나"
42,21,"사과"
43,21,"컵"
44,22,"사과"
45,22,"컵"
46,23,"바나나"
47,24,"사과"
48,24,"컵"
49,25,"바나나"
50,25,"사과"
51,26,"사과"
52,27,"사과"
53,27,"컵"
54,28,"컵"
55,28,"사과"
56,29,"컵"
57,29,"바나나"
58,30,"사과"
59,31,"컵"
60,32,"컵"
61,32,"사과"
62,33,"바나나"
63,33,"사과"
64,34,"사과"
65,34,"컵"
66,35,"컵"
67,35,"바나나"
68,36,"바나나"
69,36,"사과"
70,37,"사과"
71,37,"바나나"
72,38,"바나나"
73,39,"컵"
74,39,"바나나"
75,40,"사과"
76,40,"컵"
77,41,"바나나"
78,41,"컵"
79,41,"사과"
80,42,"컵"
81,42,"바나나"
82,43,"사과"
83,43,"컵"
84,44,"컵"
85,44,"바나나"
86,45,"사과"
87,45,"컵"
88,45,"바나나"
89,46,"바나나"
90,46,"사과"
91,46,"컵"
92,47,"사과"
93,47,"바나나"
94,47,"컵"
95,48,"바나나"
96,49,"바나나"
97,49,"컵"
98,50,"컵"
99,51,"컵"
100,51,"바나나"
101,51,"사과"
102,52,"바나나"
103,52,"컵"
104,52,"사과"
105,53,"바나나"
106,54,"사과"
107,55,"사과"
108,56,"바나나"
109,57,"사과"
110,58,"사과"
111,58,"바나나"
112,58,"컵"
113,59,"컵"
114,60,"바나나"
115,61,"컵"
116,61,"바나나"
117,61,"사과"
118,62,"컵"
119,63,"사과"
120,64,"사과"
121,64,"바나나"
122,64,"컵"
123,65,"바나나"
124,66,"바나나"
125,67,"바나나"
126,67,"컵"
127,67,"사과"
128,68,"사과"
129,68,"바나나"
130,68,"컵"
131,69,"컵"
132,69,"사과"
133,70,"사과"
134,71,"컵"
135,72,"컵"
136,72,"바나나"
137,72,"사과"
138,73,"바나나"
139,73,"사과"
140,73,"컵"
141,74,"컵"
142,74,"바나나"
143,75,"컵"
144,75,"사과"
145,75,"바나나"
146,76,"컵"
147,76,"바나나"
148,77,"컵"
149,78,"사과"
150,78,"바나나"
151,78,"컵"
152,79,"사과"
153,79,"바나나"
154,79,"컵"
155,80,"컵"
156,80,"바나나"
157,80,"사과"
158,81,"컵"
159,82,"사과"
160,82,"바나나"
161,83,"바나나"
162,84,"컵"
163,84,"사과"
164,84,"바나나"
165,85,"사과"
166,85,"컵"
167,85,"바나나"
168,86,"사과"
169,86,"컵"
170,87,"컵"
171,87,"사과"
172,87,"바나나"
173,88,"바나나"
174,88,"컵"
175,89,"컵"
176,90,"사과"
177,91,"바나나"
178,92,"사과"
179,93,"사과"
180,93,"컵"
181,94,"컵"
182,94,"바나나"
183,95,"사과"
184,96,"컵"
185,96,"사과"
186,96,"바나나"
187,97,"사과"
188,98,"컵"
189,99,"컵"
190,99,"사과"
191,100,"컵"
192,101,"사과"
193,102,"바나나"
194,103,"바나나"
195,103,"컵"
196,103,"사과"
197,104,"사과"
198,105,"바나나"
199,106,"바나나"
200,107,"바나나"
201,107,"컵"
202,107,"사과"
203,108,"사과"
204,108,"컵"
205,109,"사과"
206,110,"바나나"
207,110,"사과"
208,111,"사과"
209,111,"컵"
210,112,"사과"
211,112,"바나나"
212,112,"컵"
213,113,"사과"
214,113,"바나나"
215,113,"컵"
216,114,"바나나"
217,115,"사과"
218,115,"바나나"
219,116,"컵"
220,116,"바나나"
221,117,"컵"
222,117,"사과"
223,117,"바나나"
224,118,"바나나"
225,119,"컵"
226,119,"사과"
227,119,"바나나"
228,120,"바나나"
229,120,"사과"
230,121,"사과"
231,121,"바나나"
232,122,"바나나"
233,122,"사과"
234,123,"바나나"
235,123,"컵"
236,124,"바나나"
237,124,"컵"
238,124,"사과"
239,125,"컵"
240,126,"사과"
241,126,"바나나"
242,127,"컵"
243,128,"바나나"
244,128,"컵"
245,129,"사과"
246,129,"컵"
247,129,"바나나"
248,130,"컵"
249,131,"컵"
250,132,"사과"
251,133,"컵"
252,134,"바나나"
253,135,"사과"
254,135,"바나나"
255,135,"컵"
256,136,"바나나"
257,136,"컵"
258,136,"사과"
259,137,"컵"
260,137,"사과"
261,137,"바나나"
262,138,"사과"
263,139,"컵"
264,139,"바나나"
265,140,"바나나"
266,141,"사과"
267,141,"바나나"
268,142,"바나나"
269,143,"사과"
270,143,"바나나"
271,144,"사과"
272,144,"바나나"
273,144,"컵"
274,145,"바나나"
275,146,"바나나"
276,147,"바나나"
277,148,"컵"
278,148,"바나나"
279,149,"컵"
280,149,"사과"
281,149,"바나나"
282,150,"컵"
283,150,"사과"
284,151,"컵"
285,151,"사과"
286,151,"바나나"
287,152,"컵"
288,152,"사과"
289,153,"컵"
290,154,"바나나"
291,155,"컵"
292,155,"바나나"
293,155,"사과"
294,156,"바나나"
295,156,"사과"
296,156,"컵"
297,157,"바나나"
298,157,"사과"
299,158,"사과"
300,158,"컵"
301,159,"컵"
302,160,"바나나"
303,161,"사과"
304,161,"컵"
305,161,"바나나"
306,162,"바나나"
307,163,"바나나"
308,164,"컵"
309,164,"사과"
310,164,"바나나"
311,165,"사과"
312,165,"바나나"
313,166,"바나나"
314,167,"컵"
315,167,"바나나"
316,168,"바나나"
317,169,"바나나"
318,169,"사과"
319,169,"컵"
320,170,"사과"
321,170,"바나나"
322,171,"컵"
323,171,"바나나"
324,172,"바나나"
325,172,"컵"
326,173,"컵"
327,174,"바나나"
328,175,"사과"
329,175,"바나나"
330,175,"컵"
331,176,"사과"
332,177,"바나나"
333,177,"사과"
334,178,"사과"
335,178,"바나나"
336,178,"컵"
337,179,"바나나"
338,179,"컵"
339,179,"사과"
340,180,"바나나"
341,180,"사과"
342,180,"컵"
343,181,"사과"
344,182,"바나나"
345,182,"사과"
346,182,"컵"
347,183,"컵"
348,183,"바나나"
349,183,"사과"
350,184,"사과"
351,184,"바나나"
352,184,"컵"
353,185,"컵"
354,185,"바나나"
355,185,"사과"
356,186,"사과"
357,186,"컵"
358,187,"사과"
359,188,"컵"
360,189,"컵"
361,190,"사과"
362,190,"바나나"
363,191,"바나나"
364,191,"컵"
365,191,"사과"
366,192,"컵"
367,193,"사과"
368,194,"사과"
369,195,"바나나"
370,195,"사과"
371,196,"컵"
372,196,"바나나"
373,197,"컵"
374,197,"바나나"
375,198,"바나나"
376,199,"사과"
377,200,"사과"
378,201,"바나나"
379,201,"사과"
380,202,"컵"
381,202,"바나나"
382,202,"사과"
383,203,"사과"
384,204,"바나나"
385,205,"바나나"
386,205,"컵"
387,205,"사과"
388,206,"사과"
389,206,"컵"
390,206,"바나나"
391,207,"바나나"
392,208,"사과"
393,208,"컵"
394,208,"바나나"
395,209,"바나나"
396,209,"사과"
397,210,"컵"
398,210,"사과"
399,211,"사과"
400,211,"바나나"
401,211,"컵"
402,212,"컵"
403,212,"사과"
404,213,"사과"
405,213,"컵"
406,214,"바나나"
407,214,"사과"
408,215,"컵"
409,215,"사과"
410,216,"바나나"
411,216,"사과"
412,217,"컵"
413,218,"바나나"
414,218,"컵"
415,218,"사과"
416,219,"컵"
417,220,"컵"
418,221,"컵"
419,222,"사과"
420,223,"바나나"
421,224,"바나나"
422,224,"컵"
423,225,"컵"
424,225,"바나나"
425,226,"사과"
426,226,"컵"
427,227,"사과"
428,227,"컵"
429,227,"바나나"
430,228,"컵"
431,228,"바나나"
432,229,"바나나"
433,230,"사과"
434,231,"사과"
435,231,"바나나"
436,232,"사과"
437,232,"바나나"
438,233,"컵"
439,233,"바나나"
440,234,"사과"
441,235,"바나나"
442,236,"바나나"
443,236,"컵"
444,236,"사과"
445,237,"바나나"
446,238,"사과"
447,238,"컵"
448,238,"바나나"
449,239,"사과"
450,240,"바나나"
451,240,"컵"
452,240,"사과"
