customer_id,come_in,come_out,cal_state,customer_image,video_thumbnail
1,2019-01-01 17:11:00,2019-01-01 17:19:00,"일반퇴장",E4gZNvNBdrN7Ltu70AQR1fDIbDh3jQWOgautW8iaaZY=,JcJlhUurrrWvfP5b8lUarfTflAr5g71XgenM/1hly/U=
2,2019-01-01 13:54:00,2019-01-01 13:57:00,"일반퇴장",KlFxVTLhYTGH1LrMCW/rGyr64xUVi5/8arzhxDDXoeI=,CT0Dpkr34+pdgTSqWWbCpME3qqOcky2tRpmhm15YsWA=
3,2019-01-01 15:09:00,2019-01-01 15:15:00,"결제완료",DQOj7k3bEfiXgfhlS6JaGnCll9HrpJVP9hsqkOVDX30=,a1LZETaOl2n4Aoa8vXBoYDAosGqvQ2YSjexGCgZKK5o=
4,2019-01-01 14:26:00,2019-01-01 14:35:00,"일반퇴장",9ChEj5O5xQQ1kLzeADgMDQNzlyJCmn3n29Z2xeDJ1r8=,cL43GvCL1vkb0Tde7jKiWKE0JPFA3U+5y/BQc6b0Rb8=
5,2019-01-01 16:06:00,2019-01-01 16:15:00,"결제완료",t1bQRKZZxRRahTnB7RjeqlMyJBpsGpj/W9mX0eAW+50=,xKuxHeD8jpe1miwJs7zxvqF1cuORTNcmiz1McUAASHQ=
6,2019-01-01 14:55:00,2019-01-01 15:05:00,"결제완료",geqCisdJLWqEWWLc85gqus8/gJ0zfYamcGB6JqybuGk=,YiYXYNkuWud9DZJh0FNxCAsRXEHncznzV+ERkchZGGQ=
7,2019-01-01 15:55:00,2019-01-01 15:58:00,"결제완료",GLRHY9GsTHhzW5wLSBk8kBHFsJpTzfBe3PE9Zln8Fb4=,yExGBt7NeuMvqE+9F/TrL19nXyO4/2MZNyy8K3RuTHQ=
8,2019-01-01 20:57:00,2019-01-01 21:02:00,"일반퇴장",3efdDJhHmF7jU5kbS0k0prR1QYK1u5BV0prpns9xgzA=,fpg8YX7ZqUwq0T7S8Or5mIjNW61SpNHrPk5HSYSmttI=
9,2019-01-01 18:23:00,2019-01-01 18:29:00,"일반퇴장",l7x6kpk8/H/XJEvcRTGEP1TnlLbHIVOkcUMXHDzmC44=,K/fbeoJJ8oh+QRceOWGDe/kRpo3XKCeiAiT3OHVS9rw=
10,2019-01-01 18:21:00,2019-01-01 18:25:00,"결제완료",IRGxqonWYiwdLrJpqT/mS+6krZC6ImDqo2D/wDjt3NE=,rbVmx6BJp9PHj/cXDs/VIfT+liMaizgZMXktFtqyMa8=
