day,product_name,count
"2017-01-01","바나나",3
"2017-01-01","사과",5
"2017-01-01","컵",2
"2017-01-02","바나나",11
"2017-01-02","사과",10
"2017-01-02","컵",10
"2017-01-03","바나나",13
"2017-01-03","사과",15
"2017-01-03","컵",12
"2017-01-04","바나나",8
"2017-01-04","사과",7
"2017-01-04","컵",7
"2017-01-05","바나나",5
"2017-01-05","사과",2
"2017-01-05","컵",2
"2017-01-06","바나나",3
"2017-01-06","사과",3
"2017-01-06","컵",4
"2017-01-07","바나나",15
"2017-01-07","사과",16
"2017-01-07","컵",17
"2017-01-08","바나나",15
"2017-01-08","사과",21
"2017-01-08","컵",16
"2017-01-09","바나나",4
"2017-01-09","사과",4
"2017-01-09","컵",8
"2017-01-10","바나나",3
"2017-01-10","사과",3
"2017-01-11","바나나",8
"2017-01-11","사과",11
"2017-01-11","컵",9
"2017-01-12","바나나",9
"2017-01-12","사과",9
"2017-01-12","컵",10
"2017-01-13","바나나",15
"2017-01-13","사과",16
"2017-01-13","컵",14
"2017-01-14","바나나",6
"2017-01-14","사과",5
"2017-01-14","컵",7
"2017-01-15","바나나",16
"2017-01-15","사과",23
"2017-01-15","컵",19
"2017-01-16","바나나",13
"2017-01-16","사과",9
"2017-01-16","컵",9
"2017-01-17","바나나",17
"2017-01-17","사과",13
"2017-01-17","컵",12
"2017-01-18","바나나",20
"2017-01-18","사과",18
"2017-01-18","컵",20
"2017-01-19","바나나",17
"2017-01-19","사과",20
"2017-01-19","컵",18
"2017-01-20","바나나",3
"2017-01-20","사과",4
"2017-01-20","컵",5
"2017-01-21","바나나",4
"2017-01-21","사과",7
"2017-01-21","컵",5
"2017-01-22","바나나",12
"2017-01-22","사과",15
"2017-01-22","컵",13
"2017-01-23","바나나",6
"2017-01-23","사과",7
"2017-01-23","컵",8
"2017-01-24","바나나",22
"2017-01-24","사과",13
"2017-01-24","컵",15
"2017-01-25","바나나",5
"2017-01-25","사과",4
"2017-01-25","컵",3
"2017-01-26","바나나",11
"2017-01-26","사과",20
"2017-01-26","컵",17
"2017-01-27","바나나",11
"2017-01-27","사과",9
"2017-01-27","컵",13
"2017-01-28","바나나",10
"2017-01-28","사과",10
"2017-01-28","컵",8
"2017-01-29","바나나",19
"2017-01-29","사과",20
"2017-01-29","컵",21
"2017-01-30","바나나",3
"2017-01-30","사과",1
"2017-01-30","컵",2
"2017-01-31","바나나",4
"2017-01-31","사과",4
"2017-01-31","컵",3
"2017-02-01","바나나",15
"2017-02-01","사과",15
"2017-02-01","컵",17
"2017-02-02","바나나",10
"2017-02-02","사과",12
"2017-02-02","컵",10
"2017-02-03","바나나",10
"2017-02-03","사과",9
"2017-02-03","컵",8
"2017-02-04","바나나",10
"2017-02-04","사과",9
"2017-02-04","컵",6
"2017-02-05","바나나",16
"2017-02-05","사과",16
"2017-02-05","컵",21
"2017-02-06","바나나",4
"2017-02-06","사과",4
"2017-02-06","컵",4
"2017-02-07","바나나",9
"2017-02-07","사과",9
"2017-02-07","컵",11
"2017-02-08","바나나",5
"2017-02-08","사과",6
"2017-02-08","컵",6
"2017-02-09","바나나",11
"2017-02-09","사과",16
"2017-02-09","컵",14
"2017-02-10","바나나",10
"2017-02-10","사과",10
"2017-02-10","컵",8
"2017-02-11","바나나",14
"2017-02-11","사과",11
"2017-02-11","컵",11
"2017-02-12","바나나",9
"2017-02-12","사과",10
"2017-02-12","컵",9
"2017-02-13","바나나",4
"2017-02-13","사과",6
"2017-02-13","컵",8
"2017-02-14","바나나",10
"2017-02-14","사과",11
"2017-02-14","컵",13
"2017-02-15","바나나",17
"2017-02-15","사과",18
"2017-02-15","컵",18
"2017-02-16","바나나",19
"2017-02-16","사과",18
"2017-02-16","컵",18
"2017-02-17","바나나",7
"2017-02-17","사과",11
"2017-02-17","컵",11
"2017-02-18","바나나",4
"2017-02-18","사과",4
"2017-02-18","컵",3
"2017-02-19","바나나",12
"2017-02-19","사과",11
"2017-02-19","컵",16
"2017-02-20","바나나",8
"2017-02-20","사과",11
"2017-02-20","컵",10
"2017-02-21","바나나",5
"2017-02-21","사과",6
"2017-02-21","컵",6
"2017-02-22","바나나",12
"2017-02-22","사과",9
"2017-02-22","컵",7
"2017-02-23","바나나",19
"2017-02-23","사과",16
"2017-02-23","컵",17
"2017-02-24","바나나",10
"2017-02-24","사과",14
"2017-02-24","컵",9
"2017-02-25","바나나",8
"2017-02-25","사과",10
"2017-02-25","컵",14
"2017-02-26","바나나",19
"2017-02-26","사과",17
"2017-02-26","컵",14
"2017-02-27","바나나",17
"2017-02-27","사과",12
"2017-02-27","컵",13
"2017-02-28","바나나",7
"2017-02-28","사과",4
"2017-02-28","컵",8
"2017-03-01","바나나",19
"2017-03-01","사과",21
"2017-03-01","컵",19
"2017-03-02","바나나",20
"2017-03-02","사과",20
"2017-03-02","컵",15
"2017-03-03","바나나",17
"2017-03-03","사과",18
